Renters_percent,avgCommuteTime,medHouseIncome,medianSalePrice,neighborhood,url_OwnersvsRenters
0.32687075,41.61716195,39527.67458,138200,Roseland,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=275251&regionType=8&service=chart
0.24838644,33.78146246,40117.09874,83200,East Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138166&regionType=8&service=chart
0.53959079,35.92831846,38295.17315,0,Hermosa,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273964&regionType=8&service=chart
0.53511026,39.59739692,34536.6082,139000,Chatham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273222&regionType=8&service=chart
0.66162183,28.35436342,39468.50535,270000,Hyde Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269586&regionType=8&service=chart
,,,0,Heart of Chicago,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403330&regionType=8&service=chart
0.19635836,33.33046843,46268.5412,151000,West Elsdon,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269611&regionType=8&service=chart
0.4408414,39.53654437,37071.52745,199000,Chicago Lawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269576&regionType=8&service=chart
,,,441600,Bucktown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137603&regionType=8&service=chart
0.61520646,35.36147807,37026.15836,310400,Avondale,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269573&regionType=8&service=chart
0.23426147,38.13106267,51515.18388,143500,Morgan Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269595&regionType=8&service=chart
0.11655274,33.36334207,57593.59307,235000,Mount Greenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269596&regionType=8&service=chart
0.32220814,35.92419337,48287.68873,171500,Montclare,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274579&regionType=8&service=chart
,,,267300,University Village - Little Italy,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403141&regionType=8&service=chart
0.24831213,34.88797233,46677.98501,190400,Clearing (W),http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137841&regionType=8&service=chart
,,,165000,Park Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403356&regionType=8&service=chart
0.6142957,34.39114212,43930,88000,O'Hare,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269603&regionType=8&service=chart
0.66718857,37.21089966,24171.28505,0,West Garfield Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269613&regionType=8&service=chart
,,,236000,Galewood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403325&regionType=8&service=chart
0.62092388,32.5312158,63738.49111,522100,Lincoln Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269590&regionType=8&service=chart
0.77964153,38.9016718,20555.30015,255000,Woodlawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276138&regionType=8&service=chart
,,,190000,West Humboldt Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403318&regionType=8&service=chart
,,,162000,Scottsdale,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403367&regionType=8&service=chart
0.57902429,25.88775535,60963.40658,376800,Near West Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269599&regionType=8&service=chart
0.59861088,35.63593821,42193.55414,245000,Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269587&regionType=8&service=chart
0.5574015,34.5551153,54387.51388,436800,North Center,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269600&regionType=8&service=chart
0.08579398,36.57704623,54594.15146,140000,Ashburn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269570&regionType=8&service=chart
0.47260035,32.82949158,37672.50015,208000,McKinley Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=139408&regionType=8&service=chart
,,,279700,Belmont Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403317&regionType=8&service=chart
0.16596094,37.01533573,69338.66257,318100,Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=272951&regionType=8&service=chart
,,,160400,Brainerd,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403378&regionType=8&service=chart
,,,169000,Belmont Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403283&regionType=8&service=chart
,,,0,Pilsen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=33420&regionType=8&service=chart
,,,386000,Park West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403308&regionType=8&service=chart
0.15414273,40.40879633,49744.47986,165500,Calumet Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=273111&regionType=8&service=chart
,,,270000,Old Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403288&regionType=8&service=chart
0.6860057,38.07981796,32191.68488,319400,Edgewater,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269578&regionType=8&service=chart
0.1965108,31.59447682,53936.26237,273000,Norwood Park East,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269602&regionType=8&service=chart
0.57513089,39.76418028,31139.69207,173000,Grand Crossing,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276349&regionType=8&service=chart
,,,234200,Buena Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403264&regionType=8&service=chart
0.51575493,24.44641711,67728.03431,333800,The Loop,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269593&regionType=8&service=chart
0.2170924,31.17194368,55502.29752,291000,Edison Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269579&regionType=8&service=chart
,,,459700,Wicker Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=7930&regionType=8&service=chart
0.89501863,42.55383448,16877.13876,209000,Washington Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=275927&regionType=8&service=chart
,,,480400,Sheffield Neighbors,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403306&regionType=8&service=chart
,,,229300,East Hyde Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403352&regionType=8&service=chart
,,,361100,Old Town,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403301&regionType=8&service=chart
0.22175031,34.13459788,42795.34555,112500,Hegewisch,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138732&regionType=8&service=chart
,,,136500,Fernwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403377&regionType=8&service=chart
,,,409300,Roscoe Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403292&regionType=8&service=chart
0.33333333,43.42349727,34853,175000,Burnside,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137634&regionType=8&service=chart
,,,145500,Budlong Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403262&regionType=8&service=chart
,,,454600,Wrightwood Neighbors,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403307&regionType=8&service=chart
,,,243000,Wrightwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403151&regionType=8&service=chart
,,,163600,Rosemoor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403379&regionType=8&service=chart
,,,433800,Noble Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403310&regionType=8&service=chart
,,,0,West Woodlawn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403353&regionType=8&service=chart
,,,376300,River North,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403300&regionType=8&service=chart
,,,340000,Palmer Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403314&regionType=8&service=chart
,,,385400,Old Town Triangle,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403304&regionType=8&service=chart
,,,0,Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403286&regionType=8&service=chart
,,,170000,Longwood Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403376&regionType=8&service=chart
,,,0,North Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403271&regionType=8&service=chart
,,,220000,Schorsch Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403284&regionType=8&service=chart
,,,460100,East Ukrainian Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403311&regionType=8&service=chart
,,,142300,Margate Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403266&regionType=8&service=chart
,,,570000,Sauganash,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140292&regionType=8&service=chart
0.66538232,31.717931,44774.42533,130000,Kenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274178&regionType=8&service=chart
,,,320000,Kilbourn Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403287&regionType=8&service=chart
0.20514557,35.09564481,49579.83643,220000,Dunning,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=138129&regionType=8&service=chart
,,,267000,Norwood Park West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403276&regionType=8&service=chart
,,,193000,Sheridan Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403265&regionType=8&service=chart
,,,0,Hollywood Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403268&regionType=8&service=chart
0.43310934,32.72216563,49853.35339,390000,North Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=276477&regionType=8&service=chart
,,,0,East Chatham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403360&regionType=8&service=chart
,,,0,Lake Calumet,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403386&regionType=8&service=chart
,,,421900,Ukrainian Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403312&regionType=8&service=chart
,,,333400,West Loop Gate,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403322&regionType=8&service=chart
,,,0,Arcadia Terrace,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403255&regionType=8&service=chart
,,,312500,Andersonville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269567&regionType=8&service=chart
0.2503866,42.05678015,36176.80324,147900,South Deering,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140440&regionType=8&service=chart
,,,0,Calumet River,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403388&regionType=8&service=chart
0.26400568,41.08105504,43519.90638,160000,Washington Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269610&regionType=8&service=chart
,,,400800,New East Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403342&regionType=8&service=chart
,,,284000,Big Oaks,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403279&regionType=8&service=chart
,,,280000,Canaryville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403340&regionType=8&service=chart
,,,0,West Chatham,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403357&regionType=8&service=chart
,,,250000,Union Ridge,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403278&regionType=8&service=chart
,,,340000,Irving Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403281&regionType=8&service=chart
,,,0,Kelvin Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403315&regionType=8&service=chart
0.68137823,34.85442254,39864.81115,308000,Lincoln Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269591&regionType=8&service=chart
,,,0,Homan Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403327&regionType=8&service=chart
,,,0,Edgebrook,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=51847&regionType=8&service=chart
,,,370000,Oriole Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403168&regionType=8&service=chart
,,,185000,West Chesterfield,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403361&regionType=8&service=chart
,,,295000,North Kenwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403351&regionType=8&service=chart
,,,427300,Streeterville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403299&regionType=8&service=chart
0.82522649,34.76190361,10513.50066,0,Oakland,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274850&regionType=8&service=chart
,,,271200,West Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403374&regionType=8&service=chart
,,,383000,Bowmanville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403263&regionType=8&service=chart
,,,0,Wildwood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403275&regionType=8&service=chart
,,,260000,East Beverly,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403375&regionType=8&service=chart
